sku_id,predicted_quantity
1009AA,423.0
1077CA,4049.0
1083AA,3768.0
1116CA,4004.0
1126CA,2387.0
1130AA,919.0
1145BA,81.0
1161AA,102.0
1163CA,95.0
1193BA,186.0
1196AA,6.0
1206BA,75.0
1214CA,55.0
1224AA,175.0
1234BA,132.0
1244AA,1889.0
1255CA,2.0
1281BA,2.0
1283CA,2.0
1295CA,2.0
1296CA,7.0
1308BA,5.0
1315BA,5.0
1317BA,6.0
1317CA,2.0
1321BA,7.0
1325AA,7.0
1326AA,5.0
1330CA,2.0
1366BA,2.0
1367CA,2.0
1373BA,7.0
1374CA,7.0
1379CA,10.0
1382CA,11.0
1385CA,7.0
1390BA,5.0
1403CA,2.0
1420CA,5.0
1434BA,5.0
1436BA,8.0
1441AA,7.0
1445BA,2.0
1464AA,4.0
1468AA,5.0
1479CA,5.0
1484BA,2.0
1486CA,9.0
1488CA,7.0
1497CA,133.0
1499AA,173.0
1499CA,4.0
1511CA,26.0
1514BA,4.0
1571AA,4.0
1582CA,2.0
1584BA,2.0
1586CA,66.0
1601AA,5.0
1624AA,3.0
1624CA,3.0
1630BA,3.0
1650AA,9.0
1672AA,10.0
1678CA,5.0
1681CA,29.0
1688CA,8.0
1695CA,2.0
1698CA,5.0
1708AA,4.0
1712AA,7.0
1741BA,4.0
1745BA,2.0
1764AA,5.0
1766CA,5.0
1767CA,6.0
1798AA,4.0
1801AA,8.0
1811CA,5.0
1819AA,4.0
1826AA,5.0
1827AA,4.0
1830AA,4.0
1842BA,2.0
1851CA,5.0
1857AA,8.0
1876AA,2.0
1882CA,2.0
1902BA,7.0
1906CA,2.0
1907AA,2.0
1908AA,2.0
1921AA,2.0
1945AA,3.0
1947CA,4.0
1953AA,2.0
1956AA,8.0
1956CA,2.0
1964BA,759.0
1967BA,578.0
1970CA,103.0
1971AA,93.0
1979AA,52.0
1990AA,123.0
1992AA,73.0
1993AA,530.0
1994AA,197.0
1995AA,65.0
2013AA,49.0
2016CA,144.0
2021CA,7.0
2025AA,10.0
2039CA,11.0
2041CA,8.0
2044CA,6.0
2053BA,9.0
2054AA,9.0
2054CA,8.0
2060AA,4.0
2066AA,3.0
2078CA,55.0
2096AA,8.0
2096BA,23.0
2115CA,9.0
2117BA,21.0
2139BA,13.0
2142CA,16.0
2143AA,5.0
2170BA,5.0
2173CA,5.0
2189CA,34.0
2200CA,25.0
2212AA,5.0
2212CA,3.0
2220BA,7.0
2223AA,7.0
2227AA,4.0
2229AA,4.0
2229CA,8.0
2234AA,4.0
2236CA,4.0
2255CA,36.0
2265BA,6.0
2267CA,4.0
2277AA,142.0
2291AA,562.0
2293AA,145.0
2315BA,82.0
2317CA,609.0
2326CA,346.0
2331CA,134.0
2336BA,146.0
2337CA,273.0
2342CA,156.0
2348BA,2.0
2365AA,5.0
2371CA,8196.0
2391CA,19878.0
2396CA,1278.0
2418CA,11542.0
2422BA,1457.0
2429BA,1046.0
2449CA,5.0
2458CA,1805.0
2471CA,6548.0
2473CA,6624.0
2483BA,1092.0
2484BA,80.0
2498BA,2.0
2498CA,2.0
2501CA,328.0
2508BA,2.0
2513CA,2.0
2515BA,321.0
2528CA,1150.0
2539AA,7.0
2548CA,5.0
2555CA,49.0
2564BA,112.0
2565CA,80.0
2573CA,37.0
2600BA,4.0
2604CA,17.0
2606AA,3.0
2621AA,15.0
2632AA,115.0
2640BA,58.0
2646AA,31.0
2662CA,32.0
2672BA,7.0
2673BA,640.0
2680BA,2.0
2714CA,448.0
2727CA,307.0
2729AA,73.0
2752AA,54.0
2763CA,1267.0
2766AA,133.0
2767AA,69.0
2785BA,297.0
2803BA,530.0
2814BA,242.0
2840AA,1117.0
2847BA,299.0
2867AA,19.0
2876CA,5.0
2923CA,78.0
2925CA,29.0
2930CA,9.0
2935BA,26.0
2938CA,7.0
2953BA,68.0
2953CA,2.0
2956AA,12.0
2970CA,2.0
2977BA,9.0
2988AA,2.0
2994CA,2.0
3003AA,2.0
3006CA,7.0
3007CA,3.0
3016BA,2.0
3025CA,3.0
3027CA,2.0
3038BA,2.0
3044AA,2.0
3053AA,12.0
3075AA,3.0
3075BA,11.0
3079BA,176.0
3084CA,2.0
3098AA,7.0
3120BA,6.0
3125AA,5.0
3126BA,5.0
3132BA,2.0
3138CA,7.0
3143CA,114.0
3160BA,5.0
3161BA,53.0
3177CA,83.0
3178CA,2.0
3180BA,7.0
3193AA,4.0
3205AA,2.0
3239AA,7.0
3249CA,5.0
3250CA,213.0
3264CA,5.0
3271CA,2.0
3345AA,8.0
3358BA,2.0
3365CA,8.0
3378CA,355.0
3399AA,3.0
3404CA,7.0
3407CA,5.0
3413AA,18.0
3420AA,3.0
3423CA,2.0
3448CA,35.0
3461CA,982.0
3462AA,66.0
3494AA,70.0
3495CA,29.0
3502BA,9.0
3512AA,2344.0
3533CA,2867.0
3551CA,383.0
3556AA,25.0
3570CA,41.0
3576BA,13.0
3579CA,32.0
3590BA,5.0
3610AA,33.0
3616CA,9.0
3619CA,1673.0
